window_id,window_start_date,window_end_date,event_count,total_estimated_impact_energy_kt,max_estimated_impact_energy_kt,event_ids,dates_utc,window_note
HEF_0192,2025-06-21,2025-07-05,3,0.97,0.48,FB_20250621205514_00028 | FB_20250626003720_00027 | FB_20250626162457_00026,2025-06-21 20:55:14 | 2025-06-26 00:37:20 | 2025-06-26 16:24:57,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0089,2018-06-02,2018-06-16,1,0.91,0.91,FB_20180602164412_00293,2018-06-02 16:44:12,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0063,2016-08-05,2016-08-19,2,0.9,0.55,FB_20160805180244_00351 | FB_20160811055958_00350,2016-08-05 18:02:44 | 2016-08-11 05:59:58,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0116,2020-05-09,2020-05-23,4,0.89,0.4,FB_20200509025611_00212 | FB_20200509093752_00211 | FB_20200512232256_00210 | FB_20200518011109_00209,2020-05-09 02:56:11 | 2020-05-09 09:37:52 | 2020-05-12 23:22:56 | 2020-05-18 01:11:09,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0029,2014-06-26,2014-07-10,2,0.87,0.67,FB_20140626055441_00439 | FB_20140628024005_00438,2014-06-26 05:54:41 | 2014-06-28 02:40:05,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0039,2015-02-17,2015-03-03,3,0.86,0.53,FB_20150217131950_00414 | FB_20150225105324_00413 | FB_20150226220623_00412,2015-02-17 13:19:50 | 2015-02-25 10:53:24 | 2015-02-26 22:06:23,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0068,2016-11-24,2016-12-08,3,0.86,0.4,FB_20161124141034_00344 | FB_20161129080538_00343 | FB_20161207045139_00342,2016-11-24 14:10:34 | 2016-11-29 08:05:38 | 2016-12-07 04:51:39,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0043,2015-05-07,2015-05-21,4,0.85,0.41,FB_20150507203434_00401 | FB_20150510074501_00400 | FB_20150518171351_00399 | FB_20150520102041_00398,2015-05-07 20:34:34 | 2015-05-10 07:45:01 | 2015-05-18 17:13:51 | 2015-05-20 10:20:41,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0052,2015-12-08,2015-12-22,2,0.83,0.57,FB_20151208003423_00376 | FB_20151221023248_00375,2015-12-08 00:34:23 | 2015-12-21 02:32:48,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0038,2015-01-07,2015-01-21,2,0.82,0.41,FB_20150107010558_00417 | FB_20150109104111_00416,2015-01-07 01:05:58 | 2015-01-09 10:41:11,High-energy fireballs >= 0.1 kt inside 14-day window
