rank,candidate_type,candidate_id,candidate_name,primary_date_or_window,score,reason,source_report
77,high_energy_fireball_window,HEF_0027,HEF_0027,2014-05-08 to 2014-05-22,78.6,3 high-energy fireballs; total energy 3.72 kt,high_energy_fireball_windows.csv
78,close_approach_window,CAW_0057,CAW_0057,2003-05-28 to 2003-06-11,78.38,3 close approaches; closest distance 0.003309810832 au,close_approach_windows.csv
79,close_approach_window,CAW_0078,CAW_0078,2004-06-12 to 2004-06-26,77.435,3 close approaches; closest distance 0.003782676784 au,close_approach_windows.csv
80,close_approach_window,CAW_0016,CAW_0016,2000-12-01 to 2000-12-15,77.003,4 close approaches; closest distance 0.011498539188 au,close_approach_windows.csv
81,close_approach_window,CAW_0025,CAW_0025,2001-06-16 to 2001-06-30,76.909,4 close approaches; closest distance 0.011545593511 au,close_approach_windows.csv
82,repeating_close_approach_object,54509, 54509 YORP (2000 PH5),2000-Jul-26 05:32 to 2004-Jul-25 10:16,76.868,5 close approaches; minimum distance 0.011573118993 au,repeating_close_approach_objects.csv
83,high_energy_fireball_window,HEF_0160,HEF_0160,2023-05-16 to 2023-05-30,76.05,2 high-energy fireballs; total energy 7.21 kt,high_energy_fireball_windows.csv
84,high_energy_fireball_window,HEF_0010,HEF_0010,2013-01-12 to 2013-01-26,75.3,2 high-energy fireballs; total energy 7.06 kt,high_energy_fireball_windows.csv
85,close_approach_window,CAW_0032,CAW_0032,2001-11-29 to 2001-12-13,75.283,3 close approaches; closest distance 0.004858304987 au,close_approach_windows.csv
86,close_approach_window,CAW_0034,CAW_0034,2002-01-07 to 2002-01-21,73.875,3 close approaches; closest distance 0.005562545309 au,close_approach_windows.csv
87,high_energy_fireball_window,HEF_0158,HEF_0158,2023-04-06 to 2023-04-20,73.6,2 high-energy fireballs; total energy 6.72 kt,high_energy_fireball_windows.csv
88,repeating_close_approach_object,2003 YN107,       (2003 YN107),2000-Jun-25 23:36 to 2004-Dec-27 09:45,72.269,6 close approaches; minimum distance 0.014844189405 au,repeating_close_approach_objects.csv
89,high_energy_fireball_window,HEF_0058,HEF_0058,2016-04-10 to 2016-04-24,72.15,3 high-energy fireballs; total energy 2.43 kt,high_energy_fireball_windows.csv
90,close_approach_window,CAW_0035,CAW_0035,2002-01-23 to 2002-02-06,71.964,3 close approaches; closest distance 0.006517858201 au,close_approach_windows.csv
91,high_energy_fireball_window,HEF_0091,HEF_0091,2018-07-17 to 2018-07-31,71.3,3 high-energy fireballs; total energy 2.26 kt,high_energy_fireball_windows.csv
92,high_energy_fireball_window,HEF_0147,HEF_0147,2022-06-30 to 2022-07-14,70.95,3 high-energy fireballs; total energy 2.19 kt,high_energy_fireball_windows.csv
93,high_energy_fireball_window,HEF_0104,HEF_0104,2019-06-22 to 2019-07-06,70.55,2 high-energy fireballs; total energy 6.11 kt,high_energy_fireball_windows.csv
94,high_energy_fireball_window,HEF_0075,HEF_0075,2017-06-20 to 2017-07-04,69.5,3 high-energy fireballs; total energy 1.9 kt,high_energy_fireball_windows.csv
95,high_energy_fireball_window,HEF_0060,HEF_0060,2016-05-29 to 2016-06-12,69.2,3 high-energy fireballs; total energy 1.84 kt,high_energy_fireball_windows.csv
96,high_energy_fireball_window,HEF_0096,HEF_0096,2018-11-15 to 2018-11-29,68.8,3 high-energy fireballs; total energy 1.76 kt,high_energy_fireball_windows.csv
97,close_approach_window,CAW_0042,CAW_0042,2002-06-14 to 2002-06-28,68.396,2 close approaches; closest distance 0.000802053264 au,close_approach_windows.csv
98,high_energy_fireball_window,HEF_0084,HEF_0084,2018-02-01 to 2018-02-15,67.8,3 high-energy fireballs; total energy 1.56 kt,high_energy_fireball_windows.csv
99,high_energy_fireball_window,HEF_0086,HEF_0086,2018-04-07 to 2018-04-21,67.75,3 high-energy fireballs; total energy 1.55 kt,high_energy_fireball_windows.csv
100,high_energy_fireball_window,HEF_0059,HEF_0059,2016-05-13 to 2016-05-27,67.55,3 high-energy fireballs; total energy 1.51 kt,high_energy_fireball_windows.csv
101,high_energy_fireball_window,HEF_0056,HEF_0056,2016-02-21 to 2016-03-06,66.4,3 high-energy fireballs; total energy 1.28 kt,high_energy_fireball_windows.csv
102,high_energy_fireball_window,HEF_0050,HEF_0050,2015-10-30 to 2015-11-13,66.0,3 high-energy fireballs; total energy 1.2 kt,high_energy_fireball_windows.csv
103,close_approach_window,CAW_0069,CAW_0069,2004-01-18 to 2004-02-01,65.223,3 close approaches; closest distance 0.009888277668 au,close_approach_windows.csv
104,high_energy_fireball_window,HEF_0195,HEF_0195,2025-09-08 to 2025-09-22,65.2,3 high-energy fireballs; total energy 1.04 kt,high_energy_fireball_windows.csv
105,high_energy_fireball_window,HEF_0192,HEF_0192,2025-06-21 to 2025-07-05,64.85,3 high-energy fireballs; total energy 0.97 kt,high_energy_fireball_windows.csv
106,high_energy_fireball_window,HEF_0039,HEF_0039,2015-02-17 to 2015-03-03,64.3,3 high-energy fireballs; total energy 0.86 kt,high_energy_fireball_windows.csv
107,high_energy_fireball_window,HEF_0068,HEF_0068,2016-11-24 to 2016-12-08,64.3,3 high-energy fireballs; total energy 0.86 kt,high_energy_fireball_windows.csv
108,high_energy_fireball_window,HEF_0040,HEF_0040,2015-03-04 to 2015-03-18,63.85,3 high-energy fireballs; total energy 0.77 kt,high_energy_fireball_windows.csv
109,close_approach_window,CAW_0044,CAW_0044,2002-08-03 to 2002-08-17,63.839,3 close approaches; closest distance 0.010580661114 au,close_approach_windows.csv
110,close_approach_window,CAW_0036,CAW_0036,2002-02-08 to 2002-02-22,63.627,2 close approaches; closest distance 0.003186360533 au,close_approach_windows.csv
111,close_approach_window,CAW_0028,CAW_0028,2001-09-09 to 2001-09-23,63.522,2 close approaches; closest distance 0.003239080681 au,close_approach_windows.csv
112,high_energy_fireball_window,HEF_0175,HEF_0175,2024-05-24 to 2024-06-07,63.45,3 high-energy fireballs; total energy 0.69 kt,high_energy_fireball_windows.csv
113,close_approach_window,CAW_0008,CAW_0008,2000-05-28 to 2000-06-11,63.366,2 close approaches; closest distance 0.003316926619 au,close_approach_windows.csv
114,close_approach_window,CAW_0023,CAW_0023,2001-04-27 to 2001-05-11,63.18,3 close approaches; closest distance 0.010910106263 au,close_approach_windows.csv
115,high_energy_fireball_window,HEF_0201,HEF_0201,2026-04-29 to 2026-05-13,62.75,3 high-energy fireballs; total energy 0.55 kt,high_energy_fireball_windows.csv
116,close_approach_window,CAW_0021,CAW_0021,2001-03-23 to 2001-04-06,62.677,3 close approaches; closest distance 0.011161607206 au,close_approach_windows.csv
117,high_energy_fireball_window,HEF_0033,HEF_0033,2014-10-06 to 2014-10-20,62.5,3 high-energy fireballs; total energy 0.5 kt,high_energy_fireball_windows.csv
118,high_energy_fireball_window,HEF_0151,HEF_0151,2022-11-08 to 2022-11-22,62.5,3 high-energy fireballs; total energy 0.5 kt,high_energy_fireball_windows.csv
119,high_energy_fireball_window,HEF_0135,HEF_0135,2021-10-20 to 2021-11-03,62.3,3 high-energy fireballs; total energy 0.46 kt,high_energy_fireball_windows.csv
120,high_energy_fireball_window,HEF_0113,HEF_0113,2020-01-21 to 2020-02-04,62.05,3 high-energy fireballs; total energy 0.41 kt,high_energy_fireball_windows.csv
121,high_energy_fireball_window,HEF_0049,HEF_0049,2015-10-04 to 2015-10-18,61.9,3 high-energy fireballs; total energy 0.38 kt,high_energy_fireball_windows.csv
122,repeating_close_approach_object,2022 YG,       (2022 YG),2001-Jul-17 14:36 to 2004-Jul-17 07:15,61.852,4 close approaches; minimum distance 0.018295035852 au,repeating_close_approach_objects.csv
123,close_approach_window,CAW_0043,CAW_0043,2002-07-11 to 2002-07-25,61.852,3 close approaches; closest distance 0.01157412932 au,close_approach_windows.csv
