rank,candidate_type,candidate_id,candidate_name,primary_date_or_window,score,orbit_context_status,orbit_class_code,orbit_class_name,is_neo,is_pha,moid_au,estimated_diameter_km,sentry_match_status,sentry_year_range,sentry_impact_probability,review_note
131,high_energy_fireball_window,HEF_0019,HEF_0019,2013-10-09 to 2013-10-23,58.45,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
132,high_energy_fireball_window,HEF_0184,HEF_0184,2024-12-20 to 2025-01-03,57.55,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
133,fireball_month_cluster,month_5,Month 5,month=5,56.417,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
134,close_approach_window,CAW_0013,CAW_0013,2000-09-29 to 2000-10-13,56.267,not_enriched,,,,,,,matched_sentry,2049-2120,2.8110414e-05,No direct SBDB context attached in this run.
135,close_approach_window,CAW_0075,CAW_0075,2004-04-25 to 2004-05-09,56.011,not_enriched,,,,,,,not_matched_in_fetched_sentry,,,No direct SBDB context attached in this run.
136,close_approach_window,CAW_0065,CAW_0065,2003-10-27 to 2003-11-10,55.196,not_enriched,,,,,,,not_matched_in_fetched_sentry,,,No direct SBDB context attached in this run.
137,high_energy_fireball_window,HEF_0090,HEF_0090,2018-06-21 to 2018-07-05,54.5,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
138,repeating_close_approach_object,2001 GO2,       (2001 GO2),2000-Apr-06 23:09 to 2002-Apr-08 07:58,53.555,ok,APO,Apollo,True,False,,,not_matched_in_fetched_sentry,,,Specific object enriched with SBDB orbital context.
139,close_approach_window,CAW_0046,CAW_0046,2002-09-15 to 2002-09-29,53.411,not_enriched,,,,,,,matched_sentry,2040-2040,5.157e-09,No direct SBDB context attached in this run.
140,close_approach_window,CAW_0091,CAW_0091,2005-01-19 to 2005-02-02,53.134,not_enriched,,,,,,,not_matched_in_fetched_sentry,,,No direct SBDB context attached in this run.
141,high_energy_fireball_window,HEF_0189,HEF_0189,2025-03-27 to 2025-04-10,52.95,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
142,close_approach_window,CAW_0019,CAW_0019,2001-01-24 to 2001-02-07,52.527,not_enriched,,,,,,,not_matched_in_fetched_sentry,,,No direct SBDB context attached in this run.
143,repeating_close_approach_object,2004 PU42,       (2004 PU42),2002-Aug-11 13:02 to 2004-Aug-15 07:32,52.515,ok,APO,Apollo,True,False,,,matched_sentry,2071-2122,7.61514717e-05,Specific object enriched with SBDB orbital context.
144,fireball_month_cluster,month_10,Month 10,month=10,51.383,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
145,close_approach_window,CAW_0049,CAW_0049,2002-11-26 to 2002-12-10,50.358,not_enriched,,,,,,,not_matched_in_fetched_sentry,,,No direct SBDB context attached in this run.
146,high_energy_fireball_window,HEF_0132,HEF_0132,2021-07-05 to 2021-07-19,49.85,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
147,high_energy_fireball_window,HEF_0098,HEF_0098,2019-01-22 to 2019-02-05,49.3,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
148,high_energy_fireball_window,HEF_0194,HEF_0194,2025-08-12 to 2025-08-26,48.75,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
149,repeating_close_approach_object,367943,367943 Duende (2012 DA14),2003-Aug-18 07:57 to 2004-Aug-19 12:36,48.464,ok,ATE,Aten,True,False,,,not_matched_in_fetched_sentry,,,Specific object enriched with SBDB orbital context.
150,repeating_close_approach_object,2021 CZ3,       (2021 CZ3),2002-Aug-14 04:18 to 2004-Feb-12 02:06,48.083,ok,APO,Apollo,True,False,,,not_matched_in_fetched_sentry,,,Specific object enriched with SBDB orbital context.
151,close_approach_window,CAW_0045,CAW_0045,2002-08-18 to 2002-09-01,47.955,not_enriched,,,,,,,not_matched_in_fetched_sentry,,,No direct SBDB context attached in this run.
152,high_energy_fireball_window,HEF_0061,HEF_0061,2016-06-27 to 2016-07-11,47.9,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
153,repeating_close_approach_object,2001 XX4,       (2001 XX4),2001-Dec-07 10:33 to 2002-Dec-09 08:31,47.79,ok,APO,Apollo,True,True,,,not_matched_in_fetched_sentry,,,Specific object enriched with SBDB orbital context.
154,repeating_close_approach_object,2022 JF,       (2022 JF),2003-May-03 18:19 to 2004-Nov-03 01:05,47.392,ok,APO,Apollo,True,False,,,not_matched_in_fetched_sentry,,,Specific object enriched with SBDB orbital context.
155,high_energy_fireball_window,HEF_0026,HEF_0026,2014-03-18 to 2014-04-01,47.15,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
156,repeating_close_approach_object,2015 RT1,       (2015 RT1),2000-Aug-24 17:49 to 2003-Jan-05 08:39,46.982,ok,ATE,Aten,True,False,,,not_matched_in_fetched_sentry,,,Specific object enriched with SBDB orbital context.
157,close_approach_window,CAW_0059,CAW_0059,2003-07-18 to 2003-08-01,46.854,not_enriched,,,,,,,not_matched_in_fetched_sentry,,,No direct SBDB context attached in this run.
158,high_energy_fireball_window,HEF_0176,HEF_0176,2024-06-18 to 2024-07-02,46.65,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
159,high_energy_fireball_window,HEF_0114,HEF_0114,2020-02-28 to 2020-03-13,46.45,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
160,high_energy_fireball_window,HEF_0143,HEF_0143,2022-03-24 to 2022-04-07,46.1,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
161,high_energy_fireball_window,HEF_0202,HEF_0202,2026-05-21 to 2026-06-04,46.1,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
162,repeating_close_approach_object,2004 CZ1,       (2004 CZ1),2002-Jun-28 09:42 to 2004-Feb-24 16:02,46.04,ok,APO,Apollo,True,False,,,not_matched_in_fetched_sentry,,,Specific object enriched with SBDB orbital context.
163,repeating_close_approach_object,25143, 25143 Itokawa (1998 SF36),2001-Mar-29 18:37 to 2004-Jun-26 20:00,45.704,ok,APO,Apollo,True,True,,,not_matched_in_fetched_sentry,,,Specific object enriched with SBDB orbital context.
164,high_energy_fireball_window,HEF_0070,HEF_0070,2017-02-06 to 2017-02-20,45.35,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
165,repeating_close_approach_object,2017 XY2,       (2017 XY2),2002-Dec-15 16:36 to 2004-Jun-09 03:10,45.325,ok,APO,Apollo,True,False,,,matched_sentry,2108-2108,9.773e-08,Specific object enriched with SBDB orbital context.
166,high_energy_fireball_window,HEF_0001,HEF_0001,2012-05-04 to 2012-05-18,45.15,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
167,high_energy_fireball_window,HEF_0006,HEF_0006,2012-09-11 to 2012-09-25,45.0,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
168,repeating_close_approach_object,2001 FR85,       (2001 FR85),2001-Mar-23 07:48 to 2001-Sep-15 19:38,44.777,ok,ATE,Aten,True,False,,,not_matched_in_fetched_sentry,,,Specific object enriched with SBDB orbital context.
169,repeating_close_approach_object,2020 KQ7,       (2020 KQ7),2000-Feb-09 10:11 to 2001-Jun-28 01:35,44.753,ok,ATE,Aten,True,False,,,not_matched_in_fetched_sentry,,,Specific object enriched with SBDB orbital context.
170,close_approach_window,CAW_0061,CAW_0061,2003-08-27 to 2003-09-10,44.503,not_enriched,,,,,,,not_matched_in_fetched_sentry,,,No direct SBDB context attached in this run.
171,high_energy_fireball_window,HEF_0063,HEF_0063,2016-08-05 to 2016-08-19,44.5,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
172,high_energy_fireball_window,HEF_0029,HEF_0029,2014-06-26 to 2014-07-10,44.35,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
173,close_approach_window,CAW_0024,CAW_0024,2001-05-29 to 2001-06-12,44.21,not_enriched,,,,,,,not_matched_in_fetched_sentry,,,No direct SBDB context attached in this run.
174,high_energy_fireball_window,HEF_0052,HEF_0052,2015-12-08 to 2015-12-22,44.15,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
175,high_energy_fireball_window,HEF_0038,HEF_0038,2015-01-07 to 2015-01-21,44.1,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
176,high_energy_fireball_window,HEF_0004,HEF_0004,2012-08-13 to 2012-08-27,44.05,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
177,high_energy_fireball_window,HEF_0002,HEF_0002,2012-05-22 to 2012-06-05,44.0,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
178,high_energy_fireball_window,HEF_0108,HEF_0108,2019-09-27 to 2019-10-11,43.9,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
